 TopoDir BaixDir TopoEsq TopoDir             TrasDir TrasEsq FrenDir FrenEsq
 33472.0  4800.0 20224.0 19968.0               0.793   2.069   2.614   2.633
 33472.0  4928.0 20160.0 20032.0               0.757   2.082   2.581   2.636
 33536.0  4992.0 20352.0 19968.0               0.844   2.075   2.594   2.607
 33728.0  4864.0 20160.0 19840.0               0.819   2.072   2.581   2.630
 33792.0  4672.0 20224.0 19776.0               0.786   2.085   2.572   2.614
 33856.0  4864.0 20288.0 19776.0               0.838   2.101   2.562   2.614
 33984.0  4800.0 20224.0 19520.0               0.838   2.101   2.604   2.649
 34048.0  4736.0 20352.0 19456.0               0.835   2.092   2.591   2.639
 33984.0  4672.0 20224.0 19392.0               0.796   2.095   2.562   2.643
 33984.0  4608.0 20096.0 19392.0               0.773   2.101   2.604   2.649
 34112.0  4480.0 20224.0 19328.0               0.838   2.085   2.601   2.639
 34176.0  4416.0 19968.0 18752.0               0.722   2.075   2.585   2.636
 34112.0  4352.0 19840.0 18752.0               0.838   2.066   2.594   2.639
 34112.0  4480.0 19584.0 18496.0               0.777   2.088   2.591   2.623
 34112.0  3968.0 19648.0 18432.0               0.706   2.079   2.585   2.630
 34112.0  3904.0 19776.0 18432.0               0.854   2.082   2.604   2.633
 34176.0  3968.0 19840.0 18240.0               0.802   2.095   2.581   2.636
 34240.0  3776.0 20032.0 18176.0               0.831   2.098   2.594   2.627
 34176.0  3904.0 19968.0 18176.0               0.854   2.098   2.568   2.646
 34240.0  4352.0 20032.0 18304.0               0.854   2.098   2.575   2.643
 34240.0  4352.0 20032.0 18368.0               0.867   2.098   2.562   2.639
 34304.0  4416.0 20096.0 18432.0               0.761   2.104   2.591   2.649
 34304.0  4544.0 20096.0 18496.0               0.728   2.082   2.591   2.639
 34368.0  4544.0 20096.0 18624.0               0.783   2.075   2.578   2.646
 34304.0  4416.0 20160.0 18688.0               0.783   2.095   2.578   2.627
 34368.0  4544.0 20224.0 18816.0               0.728   2.098   2.585   2.639
 34432.0  4544.0 20416.0 18816.0               0.822   2.072   2.578   2.623
 34432.0  4544.0 20416.0 18944.0               0.848   2.098   2.575   2.607
 34368.0  4544.0 20480.0 19008.0               0.886   2.101   2.578   2.623
 34432.0  4544.0 20544.0 19072.0               0.848   2.092   2.604   2.630
 34432.0  4480.0 20736.0 19072.0               0.809   2.095   2.588   2.630
 34432.0  4544.0 20672.0 19136.0               0.851   2.088   2.591   2.643
 34496.0  4608.0 20800.0 19200.0               0.809   2.098   2.591   2.656
 34496.0  4288.0 20800.0 19200.0               0.812   2.101   2.607   2.636
 34496.0  4352.0 20928.0 19200.0               0.793   2.092   2.588   2.639
 34560.0  3840.0 20928.0 19200.0               0.825   2.069   2.591   2.639
 34496.0  4032.0 20992.0 19136.0               0.738   2.082   2.572   2.627
 34560.0  3392.0 20992.0 19200.0               0.857   2.053   2.581   2.633
 34560.0  3264.0 21120.0 19264.0               0.809   2.053   2.578   2.630
 34560.0  3264.0 21120.0 19328.0               0.806   2.088   2.562   2.623
 34560.0  3264.0 21056.0 19328.0               0.854   2.082   2.604   2.630
 34560.0  3264.0 21120.0 19328.0               0.806   2.079   2.601   2.630
 34560.0  3264.0 21120.0 19392.0               0.841   2.082   2.546   2.639
 34560.0  3264.0 21056.0 19328.0               0.870   2.088   2.591   2.643
 34560.0  3264.0 20992.0 20096.0               0.706   2.072   2.617   2.643
 34496.0  3200.0 20992.0 20160.0               0.822   2.059   2.601   2.630
 34496.0  3200.0 21056.0 20096.0               0.773   2.072   2.594   2.614
 34496.0  3264.0 20928.0 20032.0               0.783   2.046   2.588   2.649
 34496.0  3264.0 20928.0 20096.0               0.715   2.069   2.585   2.630
 34496.0  3392.0 20992.0 20160.0               0.841   2.085   2.585   2.649
 34496.0  3328.0 20992.0 20160.0               0.854   2.082   2.607   2.623
 34432.0  3392.0 20928.0 20160.0               0.848   2.069   2.604   2.614
 34496.0  3328.0 21056.0 20224.0               0.815   2.082   2.604   2.646
 34496.0  3328.0 20928.0 20160.0               0.822   2.079   2.610   2.636
 34432.0  3328.0 20928.0 20160.0               0.741   2.082   2.604   2.630
 34432.0  3328.0 20864.0 20160.0               0.825   2.079   2.623   2.633
 34432.0  3328.0 20928.0 20160.0               0.783   2.066   2.604   2.639
 34496.0  3392.0 20864.0 20160.0               0.809   2.046   2.617   2.643
 34496.0  3264.0 20800.0 20224.0               0.773   2.066   2.585   2.627
 34560.0  3328.0 20864.0 20224.0               0.828   2.079   2.610   2.646
 34496.0  3328.0 20992.0 20224.0               0.844   2.088   2.601   2.636
 34432.0  3648.0 20864.0 20224.0               0.854   2.072   2.610   2.633
 34432.0  3392.0 20928.0 20224.0               0.802   2.082   2.607   2.646
