 TopoDir BaixDir TopoEsq TopoDir             TrasDir TrasEsq FrenDir FrenEsq
 32896.0 22848.0 19264.0 34240.0               0.683   2.295   2.652   2.504
 32896.0 22848.0 19328.0 34240.0               0.667   2.324   2.685   2.549
 32896.0 22848.0 19392.0 34240.0               0.848   2.365   2.691   2.520
 32896.0 22848.0 19328.0 34240.0               0.677   2.304   2.636   2.501
 32832.0 22784.0 19328.0 34176.0               0.757   2.356   2.659   2.507
 32896.0 22784.0 19392.0 34240.0               0.777   2.372   2.675   2.539
 32896.0 22784.0 19328.0 34176.0               0.670   2.317   2.675   2.520
 32832.0 22848.0 19328.0 34240.0               0.722   2.369   2.668   2.536
 32832.0 22912.0 19264.0 34176.0               0.657   2.356   2.659   2.501
 32768.0 22912.0 19264.0 34176.0               0.777   2.372   2.662   2.504
 32704.0 22976.0 19200.0 34176.0               0.648   2.346   2.656   2.494
 32832.0 22912.0 19200.0 34112.0               0.677   2.324   2.636   2.481
 32832.0 22912.0 19264.0 34112.0               0.677   2.333   2.672   2.504
 32832.0 22976.0 19264.0 34176.0               0.677   2.324   2.617   2.469
 32896.0 22976.0 19264.0 34112.0               0.667   2.340   2.643   2.498
 32960.0 22848.0 19200.0 34048.0               0.670   2.340   2.662   2.478
 32896.0 22848.0 19264.0 34048.0               0.725   2.191   2.627   2.459
 32896.0 22912.0 19264.0 34048.0               1.054   2.436   2.704   2.581
 32896.0 22976.0 19264.0 33984.0               0.889   2.423   2.739   2.568
 32832.0 22976.0 19200.0 33984.0               0.815   2.359   2.688   2.539
 32768.0 22976.0 19200.0 33920.0               0.783   2.388   2.668   2.530
 32896.0 22976.0 19136.0 33856.0               0.928   2.423   2.714   2.559
 32832.0 22912.0 19136.0 33792.0               0.844   2.372   2.659   2.533
 32832.0 22848.0 19136.0 33856.0               0.651   2.320   2.620   2.485
 32768.0 22912.0 19200.0 33792.0               0.690   2.346   2.652   2.494
 32704.0 22912.0 19136.0 33792.0               0.674   2.356   2.652   2.475
 32576.0 22912.0 19200.0 33792.0               0.661   2.359   2.649   2.488
 32576.0 22976.0 19200.0 33856.0               0.738   2.372   2.678   2.488
 32640.0 23040.0 19136.0 33856.0               0.664   2.311   2.607   2.446
 32576.0 22912.0 19008.0 33856.0               0.654   2.320   2.649   2.475
 32512.0 22976.0 19072.0 33856.0               0.657   2.343   2.652   2.475
 32576.0 22976.0 19072.0 33856.0               0.915   2.391   2.697   2.543
 32576.0 22976.0 19072.0 33920.0               0.777   2.362   2.665   2.504
 32704.0 22976.0 19136.0 33856.0               0.651   2.343   2.636   2.488
 32768.0 23040.0 19136.0 33920.0               0.657   2.336   2.649   2.491
 32640.0 23040.0 19072.0 33984.0               0.651   2.359   2.656   2.498
 32640.0 23040.0 19136.0 33856.0               0.674   2.346   2.665   2.510
 32576.0 23040.0 19136.0 33856.0               0.680   2.353   2.639   2.498
 32704.0 23040.0 19072.0 33856.0               0.680   2.401   2.704   2.546
 32640.0 23104.0 19072.0 33856.0               0.664   2.340   2.630   2.514
 32704.0 23104.0 19072.0 33856.0               0.880   2.394   2.701   2.559
 32768.0 23104.0 19072.0 33792.0               0.706   2.353   2.659   2.488
 32768.0 23104.0 19072.0 33856.0               0.677   2.336   2.678   2.520
 32768.0 23168.0 19072.0 33856.0               0.657   2.340   2.668   2.520
 32832.0 23232.0 19072.0 33856.0               0.657   2.353   2.649   2.494
 32832.0 23232.0 19072.0 33856.0               0.661   2.336   2.646   2.504
 32768.0 23232.0 19136.0 33920.0               0.661   2.333   2.646   2.520
 32832.0 23296.0 19136.0 33856.0               0.674   2.382   2.685   2.533
 32832.0 23232.0 19136.0 33920.0               0.728   2.356   2.656   2.510
 32768.0 23296.0 19200.0 33856.0               0.680   2.278   2.675   2.514
 32832.0 23296.0 19136.0 33856.0               0.686   2.320   2.662   2.514
 32832.0 23296.0 19136.0 33856.0               0.670   2.356   2.652   2.510
 32768.0 23296.0 19200.0 33856.0               0.686   2.327   2.678   2.536
 32768.0 23296.0 19136.0 33856.0               0.709   2.359   2.639   2.514
 32704.0 23296.0 19136.0 33920.0               0.664   2.353   2.665   2.520
 32576.0 23168.0 19200.0 33856.0               0.670   2.353   2.649   2.498
 32512.0 23104.0 19136.0 33792.0               0.664   2.343   2.633   2.488
 32576.0 23168.0 19136.0 33728.0               0.686   2.317   2.627   2.520
 32704.0 23104.0 19200.0 33728.0               0.667   2.346   2.662   2.504
 32704.0 23104.0 19264.0 33728.0               0.680   2.311   2.607   2.485
 32640.0 23040.0 19200.0 33664.0               0.703   2.266   2.633   2.491
 32640.0 23040.0 19264.0 33664.0               0.680   2.327   2.659   2.504
 32704.0 22976.0 19264.0 33728.0               0.712   2.301   2.623   2.478
 32704.0 22976.0 19200.0 33664.0               0.719   2.272   2.594   2.456
 32768.0 23040.0 19200.0 33600.0               0.693   2.291   2.627   2.517
 32832.0 23040.0 19264.0 33664.0               0.699   2.327   2.639   2.494
 32704.0 22976.0 19264.0 33664.0               0.725   2.301   2.623   2.440
 32640.0 23040.0 19200.0 33664.0               0.912   2.404   2.665   2.552
 32576.0 23040.0 19200.0 33664.0               0.715   2.362   2.688   2.549
 32576.0 23104.0 19200.0 33600.0               0.686   2.324   2.633   2.465
 32512.0 23040.0 19200.0 33664.0               0.780   2.220   2.562   2.491
 32384.0 23040.0 19200.0 33664.0               0.725   2.301   2.585   2.472
 32448.0 23040.0 19264.0 33728.0               0.722   2.298   2.601   2.478
 32576.0 23104.0 19264.0 33728.0               0.735   2.295   2.620   2.459
 32320.0 23040.0 19264.0 33728.0               0.735   2.282   2.598   2.462
 32256.0 22976.0 19264.0 33664.0               0.741   2.304   2.643   2.494
 32384.0 22976.0 19264.0 33664.0               0.732   2.307   2.623   2.510
 32320.0 22976.0 19264.0 33664.0               0.728   2.301   2.633   2.488
 32384.0 22976.0 19264.0 33600.0               0.735   2.278   2.598   2.436
 32192.0 23040.0 19264.0 33664.0               0.728   2.288   2.581   2.478
 32256.0 23040.0 19328.0 33600.0               0.757   2.259   2.598   2.472
